epoch,train_loss,valid_loss,dice_generator,dice_lead,dice_abdn
0,0.834890246,0.641489565,0.645716786,0.132689744,0.094481342
1,0.79130125,0.582729816,0.680668235,0.178933471,0.113276348
2,0.658701658,0.512627482,0.640637815,0.003850566,0.115777493
3,0.572925866,0.461538881,0.718565822,0.074225612,0.181209609
4,0.518771291,0.458348602,0.714883327,0.020863634,0.176974028
epoch,train_loss,valid_loss,dice_generator,dice_lead,dice_abdn
0,0.509845555,0.535677671,0.691486657,0.000316618,0.192036331
1,0.514914215,0.45751375,0.734907925,0.001449153,0.181973025
2,0.499753803,0.487880468,0.696054697,0.066952959,0.238452464
3,0.474145085,0.440504462,0.726215363,0.127634197,0.211143211
4,0.454220533,0.437755287,0.75313741,0.199243814,0.235469148
epoch,train_loss,valid_loss,dice_generator,dice_lead,dice_abdn
0,0.439283878,0.437218815,0.747999728,0.218526483,0.242752984
1,0.437443823,0.436549962,0.758592069,0.172949418,0.249070853
2,0.439327389,0.451544195,0.763262868,0.172548696,0.253994346
3,0.43778196,0.431126207,0.741827309,0.228711173,0.238403589
4,0.425458789,0.430313259,0.769368827,0.363881677,0.370423079
5,0.417180449,0.480674744,0.771972477,0.359168768,0.392447054
6,0.403309375,0.410750538,0.774649501,0.383656621,0.285597175
7,0.39006272,0.430230051,0.77363807,0.45981884,0.377757877
8,0.371288836,0.42286849,0.775212944,0.46259442,0.285593748
9,0.359045357,0.416246742,0.770321667,0.457450092,0.395010889
10,0.347914815,0.432180554,0.772912502,0.470051706,0.381497175
11,0.340696841,0.42246303,0.770712256,0.453205734,0.391933918
