prob_threshold,pixel_threshold,TP,FP,FN,TN,sensitivity,PPV,specificity,F1
0.1,0,55,127,0,17,1.0,0.3022,0.1181,0.4641
0.1,100,55,125,0,19,1.0,0.3056,0.1319,0.4681
0.1,200,55,123,0,21,1.0,0.309,0.1458,0.4721
0.1,300,55,121,0,23,1.0,0.3125,0.1597,0.4762
0.1,400,55,118,0,26,1.0,0.3179,0.1806,0.4825
0.1,500,55,118,0,26,1.0,0.3179,0.1806,0.4825
0.1,600,55,118,0,26,1.0,0.3179,0.1806,0.4825
0.1,700,55,116,0,28,1.0,0.3216,0.1944,0.4867
0.1,800,55,115,0,29,1.0,0.3235,0.2014,0.4889
0.1,900,55,113,0,31,1.0,0.3274,0.2153,0.4933
0.1,1000,55,113,0,31,1.0,0.3274,0.2153,0.4933
0.1,1100,55,113,0,31,1.0,0.3274,0.2153,0.4933
0.1,1200,55,113,0,31,1.0,0.3274,0.2153,0.4933
0.1,1300,55,113,0,31,1.0,0.3274,0.2153,0.4933
0.1,1400,55,112,0,32,1.0,0.3293,0.2222,0.4955
0.1,1500,55,110,0,34,1.0,0.3333,0.2361,0.5
0.1,1600,55,109,0,35,1.0,0.3354,0.2431,0.5023
0.1,1700,55,107,0,37,1.0,0.3395,0.2569,0.5069
0.1,1800,55,107,0,37,1.0,0.3395,0.2569,0.5069
0.1,1900,55,104,0,40,1.0,0.3459,0.2778,0.514
0.1,2000,55,103,0,41,1.0,0.3481,0.2847,0.5164
0.1,2100,55,102,0,42,1.0,0.3503,0.2917,0.5189
0.1,2200,55,102,0,42,1.0,0.3503,0.2917,0.5189
0.1,2300,55,102,0,42,1.0,0.3503,0.2917,0.5189
0.1,2400,55,102,0,42,1.0,0.3503,0.2917,0.5189
0.1,2500,55,101,0,43,1.0,0.3526,0.2986,0.5213
0.1,2600,55,101,0,43,1.0,0.3526,0.2986,0.5213
0.1,2700,55,99,0,45,1.0,0.3571,0.3125,0.5263
0.1,2800,55,99,0,45,1.0,0.3571,0.3125,0.5263
0.1,2900,55,99,0,45,1.0,0.3571,0.3125,0.5263
0.1,3000,55,99,0,45,1.0,0.3571,0.3125,0.5263
0.1,3100,55,98,0,46,1.0,0.3595,0.3194,0.5288
0.1,3200,55,98,0,46,1.0,0.3595,0.3194,0.5288
0.1,3300,55,97,0,47,1.0,0.3618,0.3264,0.5314
0.1,3400,55,96,0,48,1.0,0.3642,0.3333,0.534
0.1,3500,55,94,0,50,1.0,0.3691,0.3472,0.5392
0.1,3600,55,92,0,52,1.0,0.3741,0.3611,0.5446
0.1,3700,55,90,0,54,1.0,0.3793,0.375,0.55
0.1,3800,55,90,0,54,1.0,0.3793,0.375,0.55
0.1,3900,55,90,0,54,1.0,0.3793,0.375,0.55
0.1,4000,55,89,0,55,1.0,0.3819,0.3819,0.5528
0.1,4100,55,88,0,56,1.0,0.3846,0.3889,0.5556
0.1,4200,55,86,0,58,1.0,0.3901,0.4028,0.5612
0.1,4300,55,84,0,60,1.0,0.3957,0.4167,0.567
0.1,4400,55,83,0,61,1.0,0.3986,0.4236,0.5699
0.1,4500,55,81,0,63,1.0,0.4044,0.4375,0.5759
0.1,4600,55,80,0,64,1.0,0.4074,0.4444,0.5789
0.1,4700,55,79,0,65,1.0,0.4104,0.4514,0.582
0.1,4800,55,78,0,66,1.0,0.4135,0.4583,0.5851
0.1,4900,55,77,0,67,1.0,0.4167,0.4653,0.5882
0.1,5000,55,77,0,67,1.0,0.4167,0.4653,0.5882
0.2,0,55,126,0,18,1.0,0.3039,0.125,0.4661
0.2,100,55,122,0,22,1.0,0.3107,0.1528,0.4741
0.2,200,55,117,0,27,1.0,0.3198,0.1875,0.4846
0.2,300,55,117,0,27,1.0,0.3198,0.1875,0.4846
0.2,400,55,116,0,28,1.0,0.3216,0.1944,0.4867
0.2,500,55,114,0,30,1.0,0.3254,0.2083,0.4911
0.2,600,55,112,0,32,1.0,0.3293,0.2222,0.4955
0.2,700,55,112,0,32,1.0,0.3293,0.2222,0.4955
0.2,800,55,110,0,34,1.0,0.3333,0.2361,0.5
0.2,900,55,110,0,34,1.0,0.3333,0.2361,0.5
0.2,1000,55,108,0,36,1.0,0.3374,0.25,0.5046
0.2,1100,55,107,0,37,1.0,0.3395,0.2569,0.5069
0.2,1200,55,105,0,39,1.0,0.3438,0.2708,0.5116
0.2,1300,55,105,0,39,1.0,0.3438,0.2708,0.5116
0.2,1400,55,103,0,41,1.0,0.3481,0.2847,0.5164
0.2,1500,55,102,0,42,1.0,0.3503,0.2917,0.5189
0.2,1600,55,102,0,42,1.0,0.3503,0.2917,0.5189
0.2,1700,55,101,0,43,1.0,0.3526,0.2986,0.5213
0.2,1800,55,101,0,43,1.0,0.3526,0.2986,0.5213
0.2,1900,55,100,0,44,1.0,0.3548,0.3056,0.5238
0.2,2000,55,99,0,45,1.0,0.3571,0.3125,0.5263
0.2,2100,55,98,0,46,1.0,0.3595,0.3194,0.5288
0.2,2200,55,97,0,47,1.0,0.3618,0.3264,0.5314
0.2,2300,55,97,0,47,1.0,0.3618,0.3264,0.5314
0.2,2400,55,93,0,51,1.0,0.3716,0.3542,0.5419
0.2,2500,55,93,0,51,1.0,0.3716,0.3542,0.5419
0.2,2600,55,93,0,51,1.0,0.3716,0.3542,0.5419
0.2,2700,55,92,0,52,1.0,0.3741,0.3611,0.5446
0.2,2800,55,90,0,54,1.0,0.3793,0.375,0.55
0.2,2900,55,89,0,55,1.0,0.3819,0.3819,0.5528
0.2,3000,55,87,0,57,1.0,0.3873,0.3958,0.5584
0.2,3100,55,86,0,58,1.0,0.3901,0.4028,0.5612
0.2,3200,55,81,0,63,1.0,0.4044,0.4375,0.5759
0.2,3300,55,79,0,65,1.0,0.4104,0.4514,0.582
0.2,3400,55,77,0,67,1.0,0.4167,0.4653,0.5882
0.2,3500,55,76,0,68,1.0,0.4198,0.4722,0.5914
0.2,3600,55,75,0,69,1.0,0.4231,0.4792,0.5946
0.2,3700,55,74,0,70,1.0,0.4264,0.4861,0.5978
0.2,3800,54,71,1,73,0.9818,0.432,0.5069,0.6
0.2,3900,54,69,1,75,0.9818,0.439,0.5208,0.6067
0.2,4000,54,65,1,79,0.9818,0.4538,0.5486,0.6207
0.2,4100,54,64,1,80,0.9818,0.4576,0.5556,0.6243
0.2,4200,53,63,2,81,0.9636,0.4569,0.5625,0.6199
0.2,4300,51,61,4,83,0.9273,0.4554,0.5764,0.6108
0.2,4400,51,58,4,86,0.9273,0.4679,0.5972,0.622
0.2,4500,51,57,4,87,0.9273,0.4722,0.6042,0.6258
0.2,4600,51,53,4,91,0.9273,0.4904,0.6319,0.6415
0.2,4700,51,51,4,93,0.9273,0.5,0.6458,0.6497
0.2,4800,51,47,4,97,0.9273,0.5204,0.6736,0.6667
0.2,4900,51,47,4,97,0.9273,0.5204,0.6736,0.6667
0.2,5000,51,46,4,98,0.9273,0.5258,0.6806,0.6711
0.3,0,55,122,0,22,1.0,0.3107,0.1528,0.4741
0.3,100,55,119,0,25,1.0,0.3161,0.1736,0.4803
0.3,200,55,115,0,29,1.0,0.3235,0.2014,0.4889
0.3,300,55,113,0,31,1.0,0.3274,0.2153,0.4933
0.3,400,55,112,0,32,1.0,0.3293,0.2222,0.4955
0.3,500,55,110,0,34,1.0,0.3333,0.2361,0.5
0.3,600,55,110,0,34,1.0,0.3333,0.2361,0.5
0.3,700,55,108,0,36,1.0,0.3374,0.25,0.5046
0.3,800,55,107,0,37,1.0,0.3395,0.2569,0.5069
0.3,900,55,105,0,39,1.0,0.3438,0.2708,0.5116
0.3,1000,55,104,0,40,1.0,0.3459,0.2778,0.514
0.3,1100,55,102,0,42,1.0,0.3503,0.2917,0.5189
0.3,1200,55,102,0,42,1.0,0.3503,0.2917,0.5189
0.3,1300,55,102,0,42,1.0,0.3503,0.2917,0.5189
0.3,1400,55,100,0,44,1.0,0.3548,0.3056,0.5238
0.3,1500,55,96,0,48,1.0,0.3642,0.3333,0.534
0.3,1600,55,96,0,48,1.0,0.3642,0.3333,0.534
0.3,1700,55,95,0,49,1.0,0.3667,0.3403,0.5366
0.3,1800,55,94,0,50,1.0,0.3691,0.3472,0.5392
0.3,1900,55,92,0,52,1.0,0.3741,0.3611,0.5446
0.3,2000,55,92,0,52,1.0,0.3741,0.3611,0.5446
0.3,2100,55,91,0,53,1.0,0.3767,0.3681,0.5473
