prob_threshold,pixel_threshold,TP,FP,FN,TN,sensitivity,PPV,specificity,F1,fpr
0.85,4600,0,0,55,144,0.0,,1.0,0.0,0.0
0.85,2200,15,1,40,143,0.2727,0.9375,0.9931,0.4225,0.006900000000000017
0.75,2800,24,2,31,142,0.4364,0.9231,0.9861,0.5926,0.013900000000000023
0.65,3800,32,4,23,140,0.5818,0.8889,0.9722,0.7033,0.027800000000000047
0.7,3100,35,5,20,139,0.6364,0.875,0.9653,0.7368,0.03469999999999995
0.65,3400,36,6,19,138,0.6545,0.8571,0.9583,0.7423,0.04169999999999996
0.75,2000,41,7,14,137,0.7455,0.8542,0.9514,0.7961,0.04859999999999998
0.6,3500,42,8,13,136,0.7636,0.84,0.9444,0.8,0.05559999999999998
0.65,3000,43,9,12,135,0.7818,0.8269,0.9375,0.8037,0.0625
0.8,1100,46,12,9,132,0.8364,0.7931,0.9167,0.8142,0.08330000000000004
0.85,600,47,20,8,124,0.8545,0.7015,0.8611,0.7705,0.13890000000000002
0.75,1300,49,24,6,120,0.8909,0.6712,0.8333,0.7656,0.16669999999999996
0.85,500,50,25,5,119,0.9091,0.6667,0.8264,0.7692,0.17359999999999998
0.7,1600,51,27,4,117,0.9273,0.6538,0.8125,0.7669,0.1875
0.75,1100,52,29,3,115,0.9455,0.642,0.7986,0.7647,0.20140000000000002
0.7,1400,53,35,2,109,0.9636,0.6023,0.7569,0.7413,0.24309999999999998
0.85,300,54,40,1,104,0.9818,0.5745,0.7222,0.7248,0.27780000000000005
0.7,1000,55,58,0,86,1.0,0.4867,0.5972,0.6548,0.40280000000000005
