date,lottery_number
2024-12-16,21
2024-12-01,61
2024-11-16,38
2024-11-01,32
2024-10-16,0
2024-10-01,59
2024-09-16,37
2024-09-01,94
2024-08-16,28
2024-08-01,46
2024-07-16,21
2024-07-01,89
2024-06-16,31
2024-06-01,42
2024-05-16,60
2024-05-02,17
2024-04-16,79
2024-04-01,90
2024-03-16,78
2024-03-01,79
2024-02-16,43
2024-02-01,9
2024-01-17,61
2023-12-30,89
2023-12-16,85
2023-12-01,91
2023-11-16,14
2023-11-01,63
2023-10-16,44
2023-10-01,66
2023-09-16,46
2023-09-01,91
2023-08-16,67
2023-07-31,11
2023-07-16,62
2023-07-01,16
2023-06-16,30
2023-06-01,9
2023-05-15,99
2023-05-02,65
2023-04-16,71
2023-04-01,99
2023-03-16,73
2023-03-01,55
2023-02-16,80
2023-02-01,92
2023-01-17,47
2022-12-30,58
2022-12-16,14
2022-12-01,8
2022-11-16,64
2022-11-01,70
2022-10-16,15
2022-10-01,50
2022-09-16,75
2022-09-01,83
2022-08-16,42
2022-08-01,14
2022-07-16,53
2022-07-01,61
2022-06-16,92
2022-06-01,2
2022-05-16,6
2022-05-02,9
2022-04-16,58
2022-04-01,10
2022-03-16,3
2022-03-01,7
2022-02-17,57
2022-02-01,30
2022-01-17,92
2021-12-30,36
2021-12-16,83
2021-12-01,82
2021-11-16,57
2021-11-01,95
2021-10-16,38
2021-10-01,83
2021-09-16,90
2021-09-01,79
2021-08-16,23
2021-08-01,69
2021-07-16,70
2021-07-01,29
2021-06-16,17
2021-06-01,45
2021-05-16,14
2021-05-02,18
2021-04-16,56
2021-04-01,5
2021-03-16,19
2021-03-01,73
2021-02-16,39
2021-02-01,97
2021-01-17,15
2020-12-30,19
2020-12-16,70
2020-12-01,84
2020-11-16,46
2020-11-01,40
2020-10-16,38
2020-10-01,59
2020-09-16,57
2020-09-01,98
2020-08-16,88
2020-08-01,92
2020-07-16,53
2020-07-01,83
2020-06-16,64
2020-06-01,24
2020-05-16,22
2020-03-16,77
2020-03-01,98
2020-02-16,94
2020-02-01,6
2020-01-17,68
2020-01-01,81
2019-12-01,81
2019-11-16,32
2019-11-01,79
2019-10-15,15
2019-10-01,59
2019-09-16,85
2019-09-01,20
2019-08-16,89
2019-08-01,58
2019-07-15,88
2019-07-01,86
2019-06-16,29
2019-06-01,46
2019-05-16,71
2019-05-02,25
2019-04-16,23
2019-04-01,52
2019-03-16,64
2019-03-01,65
2019-02-16,56
2019-02-01,4
2019-01-17,65
2018-12-30,2
2018-12-16,62
2018-12-01,67
2018-11-16,16
2018-11-01,58
2018-10-16,93
2018-10-01,99
2018-09-16,79
2018-09-26,26
2018-08-10,10
2018-08-01,78
2018-07-16,27
2018-07-01,83
2018-06-16,46
2018-06-01,95
2018-05-16,20
2018-05-02,85
2018-04-16,60
2018-04-01,85
2018-03-16,82
2018-03-02,29
2018-02-16,39
2018-02-01,31
2018-01-17,50
2017-12-30,98
2017-12-16,89
2017-12-01,33
2017-11-16,98
2017-11-01,85
2017-10-16,86
2017-10-01,52
2017-09-16,71
2017-09-01,65
2017-08-16,37
2017-08-01,36
2017-07-16,87
2017-07-01,26
2017-06-16,47
2017-06-01,61
2017-05-16,53
2017-05-02,35
2017-04-16,40
2017-04-01,80
2017-03-16,92
2017-03-01,78
2017-02-16,14
2017-02-01,42
2017-01-17,25
2016-12-30,46
2016-12-16,35
2016-12-01,77
2016-11-16,44
2016-11-01,86
2016-10-16,98
2016-10-01,33
2016-09-16,42
2016-09-01,62
2016-08-16,33
2016-08-01,57
2016-07-16,55
2016-07-01,53
2016-06-16,79
2016-06-01,14
2016-05-16,98
2016-05-02,2
2016-08-01,57
2016-07-16,55
2016-07-01,53
2016-06-16,79
2016-06-01,14
2016-05-16,98
2016-05-02,2
2016-04-16,87
2016-04-01,92
2016-03-16,32
2016-03-01,6
2016-02-16,98
2016-02-01,9
2016-01-17,50
2015-12-30,2
2015-12-17,8
2015-12-01,78
2015-11-16,3
2015-11-01,45
2015-10-16,62
2015-10-01,7
2015-09-16,6
2015-09-01,89
2015-08-16,40
2015-08-01,53
2015-07-16,49
2015-07-01,26
2015-06-16,5
2015-06-02,65
2015-05-16,38
2015-05-02,30
2015-04-16,38
2015-04-01,70
2015-03-16,92
2015-03-01,34
2015-02-16,90
2015-02-01,79
2015-01-16,74
