date,lottery_number
4/1/2025,36
3/16/2025,32
3/1/2025,54
2/16/2025,50
2/1/2025,51
1/17/2025,23
1/2/2025,51
12/16/2024,21
12/1/2024,61
11/16/2024,38
11/1/2024,32
10/16/2024,0
10/1/2024,59
9/16/2024,37
9/1/2024,94
8/16/2024,28
8/1/2024,46
7/16/2024,21
7/1/2024,89
6/16/2024,31
6/1/2024,42
5/16/2024,60
5/2/2024,17
4/16/2024,79
4/1/2024,90
3/16/2024,78
3/1/2024,79
2/16/2024,43
2/1/2024,9
1/17/2024,61
12/30/2023,89
12/16/2023,85
12/1/2023,91
11/16/2023,14
11/1/2023,63
10/16/2023,44
10/1/2023,66
9/16/2023,46
9/1/2023,91
8/16/2023,67
7/31/2023,11
7/16/2023,62
7/1/2023,16
6/16/2023,30
6/1/2023,9
5/16/2023,99
5/2/2023,65
4/16/2023,71
4/1/2023,99
3/16/2023,73
3/1/2023,55
2/16/2023,80
2/1/2023,92
1/17/2023,47
12/30/2022,58
12/16/2022,14
12/1/2022,8
11/16/2022,64
11/1/2022,70
10/16/2022,15
10/1/2022,50
9/16/2022,75
9/1/2022,83
8/16/2022,42
8/1/2022,14
7/16/2022,53
7/1/2022,61
6/16/2022,92
6/1/2022,2
5/16/2022,6
5/2/2022,9
4/16/2022,58
4/1/2022,10
3/16/2022,3
3/1/2022,7
2/17/2022,57
2/1/2022,30
1/17/2022,92
12/30/2021,36
12/16/2021,83
12/1/2021,82
11/16/2021,57
11/1/2021,95
10/16/2021,38
10/1/2021,83
9/16/2021,90
9/1/2021,79
8/16/2021,23
8/1/2021,69
7/16/2021,70
7/1/2021,29
6/16/2021,17
6/1/2021,45
5/16/2021,14
5/2/2021,18
4/16/2021,56
4/1/2021,5
3/16/2021,19
3/1/2021,73
2/16/2021,39
2/1/2021,97
1/17/2021,15
12/30/2020,19
12/16/2020,70
12/1/2020,84
11/16/2020,46
11/1/2020,40
10/16/2020,38
10/1/2020,59
9/16/2020,57
9/1/2020,98
8/16/2020,88
8/1/2020,92
7/16/2020,53
7/1/2020,83
6/16/2020,64
6/1/2020,24
4/1/2020,22
3/16/2020,77
3/1/2020,98
2/16/2020,94
2/1/2020,6
1/17/2020,68
12/30/2019,81
12/16/2019,97
12/1/2019,81
11/16/2019,32
11/1/2019,79
10/16/2019,15
10/1/2019,59
9/16/2019,85
9/1/2019,20
8/16/2019,89
8/1/2019,58
7/15/2019,88
7/1/2019,86
6/16/2019,29
6/1/2019,46
5/16/2019,71
5/2/2019,25
4/16/2019,23
4/1/2019,52
3/16/2019,64
3/1/2019,65
2/16/2019,56
2/1/2019,4
1/17/2019,65
12/30/2018,2
12/16/2018,62
12/1/2018,67
11/16/2018,16
11/1/2018,58
10/16/2018,93
10/1/2018,99
9/16/2018,79
9/1/2018,26
8/16/2018,10
8/1/2018,78
7/16/2018,27
7/1/2018,83
6/16/2018,46
6/1/2018,95
5/16/2018,20
5/2/2018,85
4/16/2018,60
4/1/2018,85
3/16/2018,82
3/2/2018,29
2/16/2018,39
2/1/2018,31
1/17/2018,50
12/30/2017,98
12/16/2017,89
12/1/2017,33
11/16/2017,98
11/1/2017,85
