date,lottery_number,zodiac
3/1/2025,54,Gemini
2/15/2025,50,Gemini
2/1/2025,51,Gemini
1/17/2025,23,Gemini
1/2/2025,51,Gemini
12/16/2024,21,Gemini 
12/1/2024,61,Gemini
11/16/2024,38,Gemini
11/1/2024,32,Gemini
10/16/2024,0,Gemini
10/1/2024,59,Gemini
9/16/2024,37,Gemini
9/1/2024,94,Gemini
8/16/2024,28,Gemini
8/1/2024,46,Gemini
7/16/2024,21,Gemini
7/1/2024,89,Gemini
6/16/2024,31,Gemini
6/1/2024,42,Gemini
5/16/2024,60,Taurus
5/2/2024,17,Taurus
4/16/2024,79,Taurus
4/1/2024,90,Taurus
3/16/2024,78,Taurus
3/1/2024,79,Taurus
2/16/2024,43,Taurus
2/1/2024,9,Taurus
1/17/2024,61,Taurus
12/30/2023,89,Taurus
12/16/2023,85,Taurus
12/1/2023,91,Taurus
11/16/2023,14,Taurus
11/1/2023,63,Taurus
10/16/2023,44,Taurus
10/1/2023,66,Taurus
9/16/2023,46,Taurus
9/1/2023,91,Taurus
8/16/2023,67,Taurus
7/31/2023,11,Taurus
7/16/2023,62,Taurus
7/1/2023,16,Taurus
6/16/2023,30,Taurus
6/1/2023,9,Taurus
5/16/2023,99,Aries
5/2/2023,65,Aries
4/16/2023,71,Aries
4/1/2023,99,Aries
3/16/2023,73,Aries
3/1/2023,55,Aries
2/16/2023,80,Aries
2/1/2023,92,Aries
1/17/2023,47,Aries
12/30/2022,58,Aries
12/16/2022,14,Pisces
12/1/2022,8,Pisces
11/16/2022,64,Pisces
11/1/2022,70,Pisces
10/16/2022,15,Pisces
10/1/2022,50,Pisces
9/16/2022,75,Pisces
9/1/2022,83,Pisces
8/16/2022,42,Pisces
8/1/2022,14,Pisces
7/16/2022,53,Pisces
7/1/2022,61,Pisces
6/16/2022,92,Pisces
6/1/2022,2,Pisces
5/16/2022,6,Pisces
5/2/2022,9,Pisces
4/16/2022,58,Pisces
4/1/2022,10,Pisces
3/16/2022,3,Pisces
3/1/2022,7,Pisces
2/17/2022,57,Pisces
2/1/2022,30,Pisces
1/17/2022,92,Pisces
12/30/2021,36,Pisces
12/16/2021,83,Aquarius
12/1/2021,82,Aquarius
11/16/2021,57,Aquarius
11/1/2021,95,Aquarius
10/16/2021,38,Aquarius
10/1/2021,83,Aquarius
9/16/2021,90,Aquarius
9/1/2021,79,Aquarius
8/16/2021,23,Aquarius
8/1/2021,69,Aquarius
7/16/2021,70,Pisces
7/1/2021,29,Pisces
6/16/2021,17,Pisces
6/1/2021,45,Pisces
5/16/2021,14,Pisces
