date,lottery_number,prime_minister
01/17/2025,23,Paetongtarn
01/02/2025,51,Paetongtarn
12/16/2024,21,Paetongtarn
12/1/2024,61,Paetongtarn
11/16/2024,38,Paetongtarn
11/1/2024,32,Paetongtarn
10/16/2024,0,Paetongtarn
10/1/2024,59,Paetongtarn
9/16/2024,37,Paetongtarn
9/1/2024,94,Paetongtarn
8/16/2024,28,Paetongtarn
8/1/2024,46,Srettha
7/16/2024,21,Srettha
7/1/2024,89,Srettha
6/16/2024,31,Srettha
6/1/2024,42,Srettha
5/16/2024,60,Srettha
5/2/2024,17,Srettha
4/16/2024,79,Srettha
4/1/2024,90,Srettha
3/16/2024,78,Srettha
3/1/2024,79,Srettha
2/16/2024,43,Srettha
2/1/2024,9,Srettha
1/17/2024,61,Srettha
12/30/2023,89,Srettha
12/16/2023,85,Srettha
12/1/2023,91,Srettha
11/16/2023,14,Srettha
11/1/2023,63,Srettha
10/16/2023,44,Srettha
10/1/2023,66,Srettha
9/16/2023,46,Srettha
9/1/2023,91,Srettha
8/16/2023,67,Prayut
7/31/2023,11,Prayut
7/16/2023,62,Prayut
7/1/2023,16,Prayut
6/16/2023,30,Prayut
6/1/2023,9,Prayut
5/16/2023,99,Prayut
5/2/2023,65,Prayut
4/16/2023,71,Prayut
4/1/2023,99,Prayut
3/16/2023,73,Prayut
3/1/2023,55,Prayut
2/16/2023,80,Prayut
2/1/2023,92,Prayut
1/17/2023,47,Prayut
12/30/2022,58,Prayut
12/16/2022,14,Prayut
12/1/2022,8,Prayut
11/16/2022,64,Prayut
11/1/2022,70,Prayut
10/16/2022,15,Prayut
10/1/2022,50,Prayut
9/16/2022,75,Prayut
9/1/2022,83,Prayut
8/16/2022,42,Prayut
8/1/2022,14,Prayut
7/16/2022,53,Prayut
7/1/2022,61,Prayut
6/16/2022,92,Prayut
6/1/2022,2,Prayut
5/16/2022,6,Prayut
5/2/2022,9,Prayut
4/16/2022,58,Prayut
4/1/2022,10,Prayut
3/16/2022,3,Prayut
3/1/2022,7,Prayut
2/17/2022,57,Prayut
2/1/2022,30,Prayut
1/17/2022,92,Prayut
12/30/2021,36,Prayut
12/16/2021,83,Prayut
12/1/2021,82,Prayut
11/16/2021,57,Prayut
11/1/2021,95,Prayut
10/16/2021,38,Prayut
10/1/2021,83,Prayut
9/16/2021,90,Prayut
9/1/2021,79,Prayut
8/16/2021,23,Prayut
8/1/2021,69,Prayut
7/16/2021,70,Prayut
7/1/2021,29,Prayut
6/16/2021,17,Prayut
6/1/2021,45,Prayut
5/16/2021,14,Prayut
5/2/2021,18,Prayut
4/16/2021,56,Prayut
4/1/2021,5,Prayut
3/16/2021,19,Prayut
3/1/2021,73,Prayut
2/16/2021,39,Prayut
2/1/2021,97,Prayut
1/17/2021,15,Prayut
12/30/2020,19,Prayut
12/16/2020,70,Prayut
12/1/2020,84,Prayut
11/16/2020,46,Prayut
11/1/2020,40,Prayut
10/16/2020,38,Prayut
10/1/2020,59,Prayut
9/16/2020,57,Prayut
9/1/2020,98,Prayut
8/16/2020,88,Prayut
8/1/2020,92,Prayut
7/16/2020,53,Prayut
7/1/2020,83,Prayut
6/16/2020,64,Prayut
6/1/2020,24,Prayut
4/1/2020,22,Prayut
3/16/2020,77,Prayut
3/1/2020,98,Prayut
2/16/2020,94,Prayut
2/1/2020,6,Prayut
1/17/2020,68,Prayut
12/30/2019,81,Prayut
12/16/2019,97,Prayut
12/1/2019,81,Prayut
11/16/2019,32,Prayut
11/1/2019,79,Prayut
10/16/2019,15,Prayut
10/1/2019,59,Prayut
9/16/2019,85,Prayut
9/1/2019,20,Prayut
8/16/2019,89,Prayut
8/1/2019,58,Prayut
7/15/2019,88,Prayut
7/1/2019,86,Prayut
6/16/2019,29,Prayut
6/1/2019,46,Prayut
5/16/2019,71,Prayut
5/2/2019,25,Prayut
4/16/2019,23,Prayut
4/1/2019,52,Prayut
3/16/2019,64,Prayut
3/1/2019,65,Prayut
2/16/2019,56,Prayut
