date,lottery_number
1-Jan-17,61
16-Jan-17,38
31-Jan-17,32
15-Feb-17,0
2-Mar-17,59
17-Mar-17,37
1-Apr-17,94
16-Apr-17,28
1-May-17,46
16-May-17,21
31-May-17,89
15-Jun-17,31
30-Jun-17,42
15-Jul-17,60
30-Jul-17,17
14-Aug-17,79
29-Aug-17,90
13-Sep-17,78
28-Sep-17,79
13-Oct-17,43
28-Oct-17,9
12-Nov-17,61
27-Nov-17,89
12-Dec-17,85
27-Dec-17,91
11-Jan-18,14
26-Jan-18,63
10-Feb-18,44
25-Feb-18,66
12-Mar-18,46
27-Mar-18,91
11-Apr-18,67
26-Apr-18,11
11-May-18,62
26-May-18,16
10-Jun-18,30
25-Jun-18,9
10-Jul-18,99
25-Jul-18,65
9-Aug-18,71
24-Aug-18,99
8-Sep-18,73
23-Sep-18,55
8-Oct-18,80
23-Oct-18,92
7-Nov-18,47
22-Nov-18,58
7-Dec-18,14
22-Dec-18,8
6-Jan-19,64
21-Jan-19,70
5-Feb-19,15
20-Feb-19,50
7-Mar-19,75
22-Mar-19,83
6-Apr-19,42
21-Apr-19,14
6-May-19,53
21-May-19,61
5-Jun-19,92
20-Jun-19,2
5-Jul-19,6
20-Jul-19,9
4-Aug-19,58
19-Aug-19,10
3-Sep-19,3
18-Sep-19,7
3-Oct-19,57
18-Oct-19,30
2-Nov-19,92
17-Nov-19,36
2-Dec-19,83
17-Dec-19,82
1-Jan-20,57
16-Jan-20,95
31-Jan-20,38
15-Feb-20,83
1-Mar-20,90
16-Mar-20,79
31-Mar-20,23
15-Apr-20,69
30-Apr-20,70
15-May-20,29
30-May-20,17
14-Jun-20,45
29-Jun-20,14
14-Jul-20,18
29-Jul-20,56
13-Aug-20,5
28-Aug-20,19
12-Sep-20,73
27-Sep-20,39
12-Oct-20,97
27-Oct-20,15
11-Nov-20,19
26-Nov-20,70
11-Dec-20,84
26-Dec-20,46
10-Jan-21,40
25-Jan-21,38
9-Feb-21,59
24-Feb-21,57
11-Mar-21,98
26-Mar-21,88
10-Apr-21,92
25-Apr-21,53
10-May-21,83
25-May-21,64
9-Jun-21,24
24-Jun-21,22
9-Jul-21,77
24-Jul-21,98
8-Aug-21,94
23-Aug-21,6
7-Sep-21,68
22-Sep-21,81
7-Oct-21,81
22-Oct-21,32
6-Nov-21,79
21-Nov-21,15
6-Dec-21,59
21-Dec-21,85
5-Jan-22,20
20-Jan-22,89
4-Feb-22,58
19-Feb-22,88
6-Mar-22,86
21-Mar-22,29
5-Apr-22,46
20-Apr-22,71
5-May-22,25
20-May-22,23
4-Jun-22,52
19-Jun-22,64
4-Jul-22,65
19-Jul-22,56
3-Aug-22,4
18-Aug-22,65
2-Sep-22,81
17-Sep-22,32
2-Oct-22,79
17-Oct-22,15
1-Nov-22,59
16-Nov-22,85
1-Dec-22,20
16-Dec-22,89
31-Dec-22,58
15-Jan-23,88
30-Jan-23,86
14-Feb-23,1
1-Mar-23,46
16-Mar-23,71
31-Mar-23,25
15-Apr-23,23
30-Apr-23,52
15-May-23,64
30-May-23,65
14-Jun-23,56
29-Jun-23,4
14-Jul-23,65
29-Jul-23,2
13-Aug-23,62
28-Aug-23,67
12-Sep-23,16
27-Sep-23,58
12-Oct-23,93
27-Oct-23,99
11-Nov-23,79
26-Nov-23,26
11-Dec-23,10
26-Dec-23,78
10-Jan-24,27
25-Jan-24,83
9-Feb-24,46
24-Feb-24,95
10-Mar-24,20
25-Mar-24,85
9-Apr-24,60
24-Apr-24,85
9-May-24,82
24-May-24,29
8-Jun-24,39
23-Jun-24,31
8-Jul-24,50
23-Jul-24,98
7-Aug-24,89
22-Aug-24,33
6-Sep-24,98
