date,month,year,number1,number2,zodiac
1,3,2025,656,781,Gemini
16,2,2025,652,1,Gemini
1,2,2025,824,685,Gemini
17,1,2025,477,448,Gemini
2,1,2025,376,297,Gemini
16,12,2024,881,339,Gemini 
1,12,2024,654,98,Gemini
16,11,2024,980,547,Gemini
1,11,2024,231,63,Gemini
16,10,2024,919,493,Gemini
1,10,2024,566,79,Gemini
16,9,2024,408,8,Gemini
1,9,2024,388,94,Gemini
16,8,2024,728,697,Gemini
1,8,2024,622,70,Gemini
16,7,2024,618,421,Gemini
1,7,2024,778,647,Gemini
16,6,2024,447,426,Gemini
1,6,2024,734,421,Gemini
16,5,2024,137,70,Taurus
2,5,2024,833,634,Taurus
16,4,2024,200,154,Taurus
1,4,2024,947,559,Taurus
16,3,2024,794,329,Taurus
1,3,2024,703,382,Taurus
16,2,2024,587,375,Taurus
1,2,2024,591,544,Taurus
17,1,2024,635,196,Taurus
30,12,2023,882,456,Taurus
16,12,2023,964,584,Taurus
1,12,2023,280,92,Taurus
16,11,2023,961,778,Taurus
1,11,2023,349,19,Taurus
16,10,2023,970,272,Taurus
1,10,2023,615,426,Taurus
16,9,2023,344,57,Taurus
1,9,2023,692,291,Taurus
16,8,2023,742,737,Taurus
31,7,2023,601,387,Taurus
16,7,2023,780,66,Taurus
1,7,2023,947,491,Taurus
16,6,2023,874,202,Taurus
1,6,2023,971,386,Taurus
16,5,2023,731,693,Aries
2,5,2023,269,187,Aries
16,4,2023,797,551,Aries
1,4,2023,698,290,Aries
16,3,2023,544,355,Aries
1,3,2023,984,748,Aries
16,2,2023,523,377,Aries
1,2,2023,664,101,Aries
17,1,2023,849,564,Aries
30,12,2022,425,250,Aries
16,12,2022,855,593,Pisces
1,12,2022,421,409,Pisces
16,11,2022,973,157,Pisces
1,11,2022,922,343,Pisces
16,10,2022,799,606,Pisces
1,10,2022,278,194,Pisces
16,9,2022,631,432,Pisces
1,9,2022,604,210,Pisces
16,8,2022,876,284,Pisces
1,8,2022,447,282,Pisces
16,7,2022,279,61,Pisces
1,7,2022,542,2,Pisces
16,6,2022,228,106,Pisces
1,6,2022,652,213,Pisces
16,5,2022,540,236,Pisces
2,5,2022,325,41,Pisces
