Variable,No Thrombus (N=146),Thrombus (N=8),Odds Ratio (95% CI),P-value
Age (years),65.0 (57.0-71.8),79.5 (70.0-83.5),1.127 (1.028-1.236),0.011
"Gender (1=Male, 2=Female)","2: 100 (68.5%), 1: 46 (31.5%)","1: 5 (62.5%), 2: 3 (37.5%)",0.276 (0.063-1.204),0.087
d-Dimer (ng/mL),215.0 (215.0-311.0),741.5 (328.5-1465.8),1.000 (1.000-1.000),0.572
log10(d-Dimer),2.3 (2.3-2.5),2.8 (2.5-3.2),4.427 (1.276-15.366),0.019
LAA Flow Velocity (PW),32.0 (23.0-43.0),20.5 (15.0-22.8),0.873 (0.791-0.963),0.007
CHA2DS2-VASc Score,2.0 (1.0-3.0),4.0 (3.0-5.2),2.256 (1.372-3.711),0.001
HASBLED Score,1.0 (0.2-2.0),2.0 (1.8-2.0),2.881 (1.222-6.792),0.016
GFR (mL/min/1.73m2),68.0 (57.0-80.9),44.0 (40.3-66.2),0.966 (0.939-0.995),0.020
Diabetes Mellitus,"0: 123 (84.2%), 1: 23 (15.8%)","0: 4 (50.0%), 1: 4 (50.0%)",5.348 (1.247-22.928),0.024
LAVI (mL/m2),40.0 (30.8-50.0),52.0 (46.8-54.5),1.026 (1.004-1.048),0.020
LVEF (%),63.0 (56.0-68.0),54.0 (48.8-60.5),0.951 (0.898-1.006),0.078
