date,lottery_number,zodiac
2024-12-01,61,Gemini
2024-11-16,38,Gemini
2024-11-01,32,Gemini
2024-10-16,0,Gemini
2024-10-01,59,Gemini
2024-09-16,37,Gemini
2024-09-01,94,Gemini
2024-08-16,28,Gemini
2024-08-01,46,Gemini
2024-07-16,21,Gemini
2024-07-01,89,Gemini
2024-06-16,31,Gemini
2024-06-01,42,Gemini
2024-05-16,60,Taurus
2024-05-02,17,Taurus
2024-04-16,79,Taurus
2024-04-01,90,Taurus
2024-03-16,78,Taurus
2024-03-01,79,Taurus
2024-02-16,43,Taurus
2024-02-01,9,Taurus
2024-01-17,61,Taurus
2023-12-30,89,Taurus
2023-12-16,85,Taurus
2023-12-01,91,Taurus
2023-11-16,14,Taurus
2023-11-01,63,Taurus
2023-10-16,44,Taurus
2023-10-01,66,Taurus
2023-09-16,46,Taurus
2023-09-01,91,Taurus
2023-08-16,67,Taurus
2023-07-31,11,Taurus
2023-07-16,62,Taurus
2023-07-01,16,Taurus
2023-06-16,30,Taurus
2023-06-01,9,Taurus
2023-05-15,99,Aries
2023-05-02,65,Aries
2023-04-16,71,Aries
2023-04-01,99,Aries
2023-03-16,73,Aries
2023-03-01,55,Aries
2023-02-16,80,Aries
2023-02-01,92,Aries
2023-01-17,47,Aries
2022-12-30,58,Aries
2022-12-16,14,Pisces
2022-12-01,8,Pisces
2022-11-16,64,Pisces
2022-11-01,70,Pisces
2022-10-16,15,Pisces
2022-10-01,50,Pisces
2022-09-16,75,Pisces
2022-09-01,83,Pisces
2022-08-16,42,Pisces
2022-08-01,14,Pisces
2022-07-16,53,Pisces
2022-07-01,61,Pisces
2022-06-16,92,Pisces
2022-06-01,2,Pisces
2022-05-16,6,Pisces
2022-05-02,9,Pisces
2022-04-16,58,Pisces
2022-04-01,10,Pisces
2022-03-16,3,Pisces
2022-03-01,7,Pisces
2022-02-17,57,Pisces
2022-02-01,30,Pisces
2022-01-17,92,Pisces
2021-12-30,36,Pisces
2021-12-16,83,Aquarius
2021-12-01,82,Aquarius
2021-11-16,57,Aquarius
2021-11-01,95,Aquarius
2021-10-16,38,Aquarius
2021-10-01,83,Aquarius
2021-09-16,90,Aquarius
2021-09-01,79,Aquarius
2021-08-16,23,Aquarius
2021-08-01,69,Aquarius
2021-07-16,70,Pisces
2021-07-01,29,Pisces
2021-06-16,17,Pisces
2021-06-01,45,Pisces
2021-05-16,14,Pisces
2021-05-02,18,Aquarius
2021-04-16,56,Aquarius
2021-04-01,5,Aquarius
2021-03-16,19,Aquarius
2021-03-01,73,Aquarius
2021-02-16,39,Aquarius
2021-02-01,97,Aquarius
2021-01-17,15,Aquarius
2020-12-30,19,Aquarius
2020-12-16,70,Capricorn
2020-12-01,84,Capricorn
2020-11-16,46,Capricorn
2020-11-01,40,Capricorn
2020-10-16,38,Capricorn
2020-10-01,59,Capricorn
2020-09-16,57,Capricorn
2020-09-01,98,Capricorn
2020-08-16,88,Capricorn
2020-08-01,92,Capricorn
2020-07-16,53,Capricorn
2020-07-01,83,Capricorn
2020-06-16,64,Capricorn
2020-06-01,24,Capricorn
2020-05-16,22,Capricorn
2020-03-16,77,Capricorn
2020-03-01,98,Capricorn
2020-02-16,94,Capricorn
2020-02-01,6,Capricorn
2020-01-17,68,Capricorn
2020-01-01,81,Capricorn
